Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,12-04-2021,39,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Peter's
Islington Council,25-10-2019,45,Yes,Female,(A) White - Any other White background,No,NULL,Other religion,Heterosexual,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,St Peter's
No Outcome,14-07-2021,26,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,26-04-2021,38,Blanks,Female,(A) White - British,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,01-11-2018,20,No,Male,(D) Black or Black British - Any other Black background,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,St Peter's
London Borough of Islington ,08-10-2018,28,Yes,Female,(A) White - British,No,NULL,Prefer not to say religion,No response to sexuality,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Bunhill
No Outcome,25-03-2021,36,Blanks,Male,(B) Mixed - White and Black African,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Bunhill
No Outcome,25-08-2021,33,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Buddhist,Gay / lesbian,Blanks,Blanks,NULL,Bunhill
No Outcome,05-05-2021,49,Yes,Male,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,24-02-2021,32,Blanks,Female,(E) Other Ethnic Groups - Any other background,Blanks,NULL,Muslim,Bisexual,Blanks,Blanks,NULL,Bunhill
No Outcome,10-03-2021,59,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,22-02-2021,39,Yes,Male,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Bunhill
Mihomecare- Islington Branch,07-09-2020,32,Yes,Female,(E) Other Ethnic Groups - Arab,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Bunhill
No Outcome,19-06-2021,36,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Buddhist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,17-06-2021,41,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,19-04-2021,31,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Bisexual,Blanks,Blanks,NULL,Bunhill
Home,27-07-2020,25,No,Male,(C) Asian or Asian British - Indian,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Bunhill
No Outcome,23-06-2021,18,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,25-03-2021,19,Blanks,Male,(B) Mixed - White and Black African,Blanks,NULL,Muslim,Bisexual,Blanks,Blanks,NULL,St Peter's
No Outcome,01-04-2021,45,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,06-12-2018,45,No,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Prefer not to disclose benefits,St Peter's
London Borough of Islington ,15-07-2021,22,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Universal credit (UC), Months on benefits",St Peter's
Islington Council,15-07-2021,22,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Universal credit (UC), Months on benefits",St Peter's
No Outcome,26-02-2021,36,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,14-06-2021,16,Blanks,Male,(B) Mixed - White and Black African,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,St Peter's
No Outcome,11-11-2020,30,Yes,Male,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St Peter's
No Outcome,27-03-2021,22,Blanks,Male,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,06-08-2021,33,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,21-04-2021,42,Blanks,Male,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,08-06-2020,50,No,Female,(A) White - Any other White background,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),St Peter's
No Outcome,02-06-2021,44,Blanks,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,17-03-2021,22,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Peter's
Berkeley Homes (North East London) Ltd,03-02-2020,19,No,Male,(B) Mixed - White and Black African,No,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),No,Not in receipt of benefits,St Peter's
No Outcome,05-04-2021,63,Blanks,Female,(A) White - Irish,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,22-05-2019,24,Yes,Female,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,Universal credit (UC),St Peter's
No Outcome,25-03-2021,53,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,14-02-2020,51,Blanks,Male,(A) White - Kurdish,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Bunhill
No Outcome,29-09-2020,56,No,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),No,Other benefit,Bunhill
No Outcome,30-10-2020,28,Yes,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Bunhill
No Outcome,10-03-2021,59,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,05-05-2021,68,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Enfield Lock
No Outcome,07-07-2021,27,Blanks,Female,(C) Asian or Asian British - Any other Asian background,Yes,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,"Personal independence payment (PI), Universal credit (UC)",Cockfosters
No Outcome,22-06-2021,22,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Underhill
No Outcome,04-06-2021,23,Blanks,Female,(C) Asian or Asian British - Indian,Blanks,NULL,Hindu,Heterosexual,Blanks,Blanks,NULL,Headstone South
No Outcome,07-01-2021,61,Yes,Male,(C) Asian or Asian British - Pakistani,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Wembley Central
No Outcome,11-03-2021,56,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Mayfield
No Outcome,30-06-2021,19,No,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,Blanks,No,Not in receipt of benefits,Caledonian
Kings Cross Construction Skills Centre,24-05-2018,20,Blanks,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,Not in receipt of benefits,Barnsbury
No Outcome,16-03-2021,55,Blanks,Prefer not to say,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Barnsbury
No Outcome,23-04-2019,21,No,Male,(A) White - British,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Barnsbury
No Outcome,03-08-2021,21,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,03-08-2021,27,Blanks,Male,(A) White - Irish,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,27-03-2021,52,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,26-04-2021,51,Blanks,Male,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,14-07-2021,39,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
Uber Eat,13-02-2018,27,Yes,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 0 (Early childhood education),Blanks,Months on benefits,Barnsbury
Wates Construction Ltd,09-04-2019,32,No,Male,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),No,Not in receipt of benefits,Barnsbury
No Outcome,01-05-2021,38,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,17-04-2021,21,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Barnsbury
No Outcome,16-06-2021,36,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,28-05-2020,60,No,Male,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Caledonian
No Outcome,03-03-2021,18,Blanks,Male,(B) Mixed - White and Black African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,16-01-2020,46,No,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Caledonian
No Outcome,04-06-2020,59,No,Male,(D) Black or Black British - Other African,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,St Mary's
Nandos,10-05-2018,20,Blanks,Male,(E) Other Ethnic Groups - Latin American,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,Not in receipt of benefits,St Mary's
No Outcome,26-04-2021,32,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,03-08-2021,25,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,28-05-2019,51,No,Male,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Caledonian
No Outcome,05-08-2019,28,No,Male,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 1 (Primary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA), Disability living allowance (DLA)",Caledonian
No Outcome,25-03-2021,24,Blanks,Male,(C) Asian or Asian British - Chinese,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,17-04-2019,59,Yes,Male,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),St Mary's
No Outcome,05-05-2021,27,Blanks,Male,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,17-08-2021,26,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,27-05-2020,35,Yes,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Caledonian
No Outcome,20-04-2021,38,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,10-05-2021,16,Blanks,Female,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,16-05-2021,50,Blanks,Male,(C) Asian or Asian British - Pakistani,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,26-06-2021,36,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,13-11-2018,35,No,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,Universal credit (UC),St Mary's
No Outcome,07-09-2018,35,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,Christian,Heterosexual,Blanks,Yes,"Income support (IS), Months on benefits",St Mary's
No Outcome,13-05-2021,35,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,St Mary's
No Outcome,24-03-2021,18,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,22-06-2020,44,Yes,Female,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),St Mary's
No Outcome,23-06-2020,19,No,Male,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),St Mary's
The Courtyard Marie May Academy,14-04-2020,26,Blanks,Female,(A) White - British,No,NULL,Blanks,Blanks,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),St Mary's
No Outcome,23-06-2021,18,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,10-01-2018,32,Yes,Female,(B) Mixed - White and Asian,Blanks,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Blanks,"Housing Benefit, Months on benefits",St Mary's
No Outcome,18-03-2019,57,No,Male,(D) Black or Black British - Caribbean,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,Yes,Job seekers allowance (JSA),St Mary's
No Outcome,15-07-2021,61,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Gay / lesbian,Blanks,Blanks,NULL,St Mary's
No Outcome,20-03-2021,43,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,31-08-2021,53,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,NULL,St Mary's
No Outcome,28-05-2021,25,Blanks,Male,(E) Other Ethnic Groups - Any other background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,06-09-2021,30,Yes,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,Blanks,Yes,Other benefit,Bunhill
Mihomecare- Islington Branch,04-01-2021,54,Yes,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,10-03-2021,35,Blanks,Female,(C) Asian or Asian British - Pakistani,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Bunhill
No Outcome,05-04-2019,26,No,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Bunhill
No Outcome,28-07-2021,34,Blanks,Male,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bush Hill Park
No Outcome,12-03-2021,45,Blanks,Male,(C) Asian or Asian British - Indian,Blanks,NULL,Hindu,Prefer not to say sexuality,Blanks,Blanks,NULL,Sudbury
Mihomecare- Islington Branch,02-06-2020,40,No,Female,(A) White - Any other White background,No,NULL,Buddhist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Eastbury
No Outcome,27-04-2020,40,No,Female,(A) White - Any other White background,No,NULL,Buddhist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Eastbury
No Outcome,24-02-2021,47,Blanks,Male,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Caledonian
Jpc Cleaning Services Ltd,05-08-2020,51,No,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,St Peter's
Homedotcare,05-08-2020,51,No,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,St Peter's
No Outcome,22-07-2021,29,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,17-05-2021,26,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,21-04-2021,49,Blanks,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,10-08-2020,50,Yes,Female,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Barnsbury
No Outcome,03-03-2021,50,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Barnsbury
No Outcome,05-09-2019,40,Yes,Female,(A) White - Turkish/ Turkish Cypriot,Yes,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),St Mary's
No Outcome,06-03-2019,23,No,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),St Mary's
No Outcome,27-02-2021,64,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Jewish,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,02-09-2020,42,Yes,Male,(A) White - Irish,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St Mary's
No Outcome,18-01-2018,27,Yes,Female,(C) Asian or Asian British - Indian,Blanks,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),Blanks,Months on benefits,St Mary's
No Outcome,22-04-2021,50,Blanks,Male,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Mary's
No Outcome,14-09-2018,58,No,Male,(D) Black or Black British - Caribbean,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 1 (Primary education),Yes,Employment support allowance (ESA),Canonbury
No Outcome,04-08-2021,33,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Canonbury
Caterlink,11-09-2018,37,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,No response to sexuality,ISCED Level 3 (Upper secondary education),Yes,Income support (IS),Canonbury
No Outcome,08-10-2018,60,Yes,Female,(D) Black or Black British - Caribbean,Yes,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Canonbury
Berkeley Homes (North East London),08-05-2019,18,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,14-06-2019,65,Yes,Female,(A) White - Gypsy/ Traveller,Yes,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,"Employment support allowance (ESA), Disability living allowance (DLA)",St Mary's
No Outcome,10-03-2021,47,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Gay / lesbian,Blanks,Blanks,NULL,Canonbury
South East Electrical Installations Ltd,14-08-2019,21,No,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,20-08-2020,57,Yes,Female,(D) Black or Black British - Nigerian,No,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Canonbury
No Outcome,21-02-2020,38,Yes,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Canonbury
No Outcome,24-05-2019,51,Yes,Male,(A) White - British,Prefer not to say,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Canonbury
No Outcome,24-02-2021,46,Blanks,Male,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Canonbury
No Outcome,01-07-2021,57,Blanks,Female,(B) Mixed - White and Black African,Blanks,NULL,Prefer not to say religion,Gay / lesbian,Blanks,Blanks,NULL,Canonbury
No Outcome,14-07-2021,16,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Barnsbury
LBI - HASS,05-03-2018,53,No,Female,(D) Black or Black British - Caribbean,Yes,NULL,Other religion,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Blanks,"Employment support allowance (ESA), Months on benefits",Barnsbury
No Outcome,06-07-2021,17,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,26-02-2021,59,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Buddhist,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,24-06-2019,49,Yes,Female,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Employment support allowance (ESA),Barnsbury
No Outcome,05-03-2021,48,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,St Mary's
No Outcome,21-06-2018,60,Yes,Male,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,St Mary's
No Outcome,23-03-2021,21,Blanks,Female,(C) Asian or Asian British - Pakistani,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,15-06-2021,39,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,21-05-2021,33,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,16-12-2020,31,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Barnsbury
No Outcome,14-08-2018,31,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,"Income support (IS), Months on benefits",Barnsbury
No Outcome,23-04-2021,43,Blanks,Male,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,25-08-2021,25,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,01-06-2021,41,Blanks,Female,(A) White - Irish,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,26-04-2021,49,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,26-07-2021,63,Blanks,Male,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
Reed,14-02-2018,40,Yes,Female,(D) Black or Black British - Caribbean,Prefer not to say,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Blanks,"Income support (IS), Months on benefits",Barnsbury
No Outcome,17-05-2021,36,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,17-06-2021,34,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,01-10-2020,30,Yes,Female,(D) Black or Black British - Eritrean,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Employment support allowance (ESA),St Peter's
No Outcome,01-07-2021,58,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Peter's
Bbc,22-06-2020,57,No,Female,(A) White - British,No,NULL,No religion / atheist,Prefer not to say sexuality,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),St Peter's
No Outcome,10-03-2021,57,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,St Peter's
No Outcome,09-08-2021,53,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,St Peter's
No Outcome,11-04-2021,58,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,02-06-2021,58,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,20-04-2021,21,Blanks,Female,(A) White - British,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Barnsbury
No Outcome,07-08-2019,50,No,Male,(A) White - British,Yes,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Caledonian
No Outcome,16-11-2020,23,Yes,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Caledonian
No Outcome,26-07-2019,22,No,Female,(D) Black or Black British - Any other Black background,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Employment support allowance (ESA),Barnsbury
No Outcome,12-08-2021,29,Yes,Female,(D) Black or Black British - Any other Black background,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Barnsbury
No Outcome,07-11-2019,52,No,Female,(E) Other Ethnic Groups - Latin American,No,NULL,Christian,Heterosexual,Blanks,No,Not in receipt of benefits,Caledonian
